ID,Inclusion_Exlusion,Reason,Trial_phase,Trial_number,Trial_name,Tumor,Primary_outcome,PFS_primary_outcome,PFS_Registry,PFS_Protocol,PFS_Prespecified,PFS_Paper,PFS_Inconsistency,PFS_Reason,PFS_Free_comments,PFS_Blndeness,ORR_primary_outcome,ORR_Registry,ORR_Protocol,ORR_Prespecified,ORR_Paper,ORR_Inconsistency,ORR_Reason,ORR_Free_comments,ORR_Blndeness,Response_PFS,Response_ORR,title,journal,IF,year,authors,url,pubmed_id
143,Inclusion,,Phase 2,"EudraCT, 2016–005241–23",No name,Colorectal cancer,PFS,Yes,Unclear,No protocol,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,No,Unclear,No protocol,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,,,"TAS-102 with or without bevacizumab in patients with chemorefractory metastatic colorectal cancer: an investigator-initiated, open-label, randomised, phase 2 trial.",The Lancet. Oncology,41.32,2020,Pfeiffer P and Yilmaz M and Mｾｽｶller S and Zitnjak D and Krogh M and Petersen LN and Poulsen Lｾ and Winther SB and Thomsen KG and Qvortrup C,https://pubmed.ncbi.nlm.nih.gov/31999946/,31999946
146,Inclusion,,Phase 3,NCT01627379,POWER,Esophageal Cancer,OS,No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",,,"Cisplatin and 5-fluorouracil with or without epidermal growth factor receptor inhibition panitumumab for patients with non-resectable, advanced or metastatic oesophageal squamous cell cancer: a prospective, open-label, randomised phase III AIO/EORTC trial (POWER).",Annals of oncology : official journal of the European Society for Medical Oncology,32.98,2020,Moehler M and Maderer A and Thuss-Patience PC and Brenner B and Meiler J and Ettrich TJ and Hofheinz RD and Al-Batran SE and Vogel A and Mueller L and Lutz MP and Lordick F and Alsina M and Borchert K and Greil R and Eisterer W and Schad A and Slotta-Huspenina J and Van Cutsem E and Lorenzen S,https://pubmed.ncbi.nlm.nih.gov/31959339/,31959339
151,Inclusion,,Phase 3,NCT01909453,COLUMBUS,Melanoma,Unclear,Unclear,Only central,No protocol,Only central,Only central,Consistent,,,"Probably, only blinded",Unclear,Only central,No protocol,Only central,Investigator + central,Central or local in advance but both in paper,,,"Probably, non-blinded + blinded",pending,,Update on tolerability and overall survival in COLUMBUS: landmark analysis of a randomised phase 3 trial of encorafenib plus binimetinib vs vemurafenib or encorafenib in patients with BRAF V600-mutant melanoma.,"European journal of cancer (Oxford, England : 1990)",9.16,2020,Ascierto PA and Dummer R and Gogas HJ and Flaherty KT and Arance A and Mandala M and Liszkay G and Garbe C and Schadendorf D and Krajsova I and Gutzmer R and de Groot JWB and Loquai C and Gollerkeri A and Pickard MD and Robert C,https://pubmed.ncbi.nlm.nih.gov/31901705/,31901705
164,Inclusion,,Phase 2,NCT01217034,TACTICS,Liver cancer,OS and PFS,Yes,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",Only non-blinded,Only non-blinded,"Randomised, multicentre prospective trial of transarterial chemoembolisation (TACE) plus sorafenib as compared with TACE alone in patients with hepatocellular carcinoma: TACTICS trial.",Gut,23.06,2020,Kudo M and Ueshima K and Ikeda M and Torimura T and Tanabe N and Aikata H and Izumi N and Yamasaki T and Nojiri S and Hino K and Tsumura H and Kuzuya T and Isoda N and Yasui K and Aino H and Ido A and Kawabe N and Nakao K and Wada Y and Yokosuka O and Yoshimura K and Okusaka T and Furuse J and Kokudo N and Okita K and Johnson PJ and Arai Y,https://pubmed.ncbi.nlm.nih.gov/31801872/,31801872
166,Inclusion,,Phase 2,NCT00204568,No name,Soft-tissue sarcoma,PFS,Yes,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",,,Randomised phase II trial of trofosfamide vs. doxorubicin in elderly patients with untreated metastatic soft-tissue sarcoma.,"European journal of cancer (Oxford, England : 1990)",9.16,2020,Hartmann JT and Kopp HG and Gruenwald V and Piperno-Neumann S and Kunitz A and Hofheinz R and Mueller L and Geissler M and Horger M and Fix P and Chemnitz JM and Neise M and Wehler T and Zander I and Eckert R and Hann von Weyhern C and Bauer S and Mayer F,https://pubmed.ncbi.nlm.nih.gov/31785463/,31785463
168,Exclusion,Outcome,,,,,,,,,,,,,,,,,,,,,,,,,,"Overall Survival with Osimertinib in Untreated, EGFR-Mutated Advanced NSCLC.",The New England journal of medicine,91.25,2020,Ramalingam SS and Vansteenkiste J and Planchard D and Cho BC and Gray JE and Ohe Y and Zhou C and Reungwetwattana T and Cheng Y and Chewaskulyong B and Shah R and Cobo M and Lee KH and Cheema P and Tiseo M and John T and Lin MC and Imamura F and Kurata T and Todd A and Hodge R and Saggese M and Rukazenkov Y and Soria JC,https://pubmed.ncbi.nlm.nih.gov/31751012/,31751012
173,Exclusion,Study design,,,,,,,,,,,,,,,,,,,,,,,,,,Geriatric Nutritional Risk Index as a prognostic marker in patients with extensive-stage disease small cell lung cancer: Results from a randomized controlled trial.,Thoracic cancer,3.5,2020,Lee GW and Go SI and Kim DW and Kim HG and Kim JH and An HJ and Jang JS and Kim BS and Hahn S and Heo DS,https://pubmed.ncbi.nlm.nih.gov/31707767/,31707767
174,Inclusion,,Phase 2,NCT01730677,KCSG BR11-16,Breast cancer,PFS,Yes,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",,,Randomised Phase 2 study of lapatinib and vinorelbine vs vinorelbine in patients with HER2遯ｶ+遯ｶ逶etastatic breast cancer after lapatinib and trastuzumab treatment (KCSG BR11-16).,British journal of cancer,7.64,2019,Sim SH and Park IH and Jung KH and Kim SB and Ahn JH and Lee KH and Im SA and Im YH and Park YH and Sohn J and Kim YJ and Lee S and Kim HJ and Chae YS and Park KH and Nam BH and Lee KS and Ro J,https://pubmed.ncbi.nlm.nih.gov/31690831/,31690831
177,Inclusion,,Phase 1b/2,NCT02340975,No name,Gastric and Gastroesophageal Junction Adenocarcinoma,PFS and ORR,Yes,Unclear,No protocol,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,Yes,Unclear,No protocol,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,,,Safety and Efficacy of Durvalumab and Tremelimumab Alone or in Combination in Patients with Advanced Gastric and Gastroesophageal Junction Adenocarcinoma.,Clinical cancer research : an official journal of the American Association for           Cancer Research,12.53,2020,Kelly RJ and Lee J and Bang YJ and Almhanna K and Blum-Murphy M and Catenacci DVT and Chung HC and Wainberg ZA and Gibson MK and Lee KW and Bendell JC and Denlinger CS and Chee CE and Omori T and Leidner R and Lenz HJ and Chao Y and Rebelatto MC and Brohawn PZ and He P and McDevitt J and Sheth S and Englert JM and Ku GY,https://pubmed.ncbi.nlm.nih.gov/31676670/,31676670
178,Inclusion,,Phase 2,NCT02592746,KCSG-BR15-10,Breast cancer,PFS,Yes,Unclear,No protocol,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,No,No ORR,No protocol,No ORR,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,,,"Palbociclib plus exemestane with gonadotropin-releasing hormone agonist versus capecitabine in premenopausal women with hormone receptor-positive, HER2-negative metastatic breast cancer (KCSG-BR15-10): a multicentre, open-label, randomised, phase 2 trial.",The Lancet. Oncology,41.32,2019,Park YH and Kim TY and Kim GM and Kang SY and Park IH and Kim JH and Lee KE and Ahn HK and Lee MH and Kim HJ and Kim HJ and Lee JI and Koh SJ and Kim JY and Lee KH and Sohn J and Kim SB and Ahn JS and Im YH and Jung KH and Im SA,https://pubmed.ncbi.nlm.nih.gov/31668850/,31668850
185,Inclusion,,Phase 3,NCT00588770,No name,Head and Neck Cancer,OS,No,Unclear,Unclear,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",No,Unclear,Unclear,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",Only non-blinded,Only non-blinded,Phase III Randomized Trial of Chemotherapy With or Without Bevacizumab in Patients With Recurrent or Metastatic Head and Neck Cancer.,Journal of clinical oncology : official journal of the American Society of Clinical           Oncology,44.54,2019,Argiris A and Li S and Savvides P and Ohr JP and Gilbert J and Levine MA and Chakravarti A and Haigentz M Jr and Saba NF and Ikpeazu CV and Schneider CJ and Pinto HA and Forastiere AA and Burtness B,https://pubmed.ncbi.nlm.nih.gov/31618129/,31618129
189,Inclusion,,Phase 3,NCT03043872,CASPIAN,Small cell lung cancer,OS,No,Only investigator,No protocol,Only investigator,Only investigator,Consistent,,,Only non-blinded,No,Only investigator,No protocol,Only investigator,Only investigator,Consistent,,,Only non-blinded,,,"Durvalumab plus platinum-etoposide versus platinum-etoposide in first-line treatment of extensive-stage small-cell lung cancer (CASPIAN): a randomised, controlled, open-label, phase 3 trial.","Lancet (London, England)",79.32,2019,Paz-Ares L and Dvorkin M and Chen Y and Reinmuth N and Hotta K and Trukhin D and Statsenko G and Hochmair MJ and ｾ･波ｾｽｼroｾｮ埠 M and Ji JH and Voitko O and Poltoratskiy A and Ponce S and Verderame F and Havel L and Bondarenko I and Kazarnowicz A and Losonczy G and Conev NV and Armstrong J and Byrne N and Shire N and Jiang H and Goldman JW,https://pubmed.ncbi.nlm.nih.gov/31590988/,31590988
192,Inclusion,,Phase 3,NCT02485691,CARD,Prostate cancer,PFS,Yes,Unclear,Only investigator,Only investigator,Only investigator,Consistent,,,Only non-blinded,No,Unclear,Only investigator,Only investigator,Only investigator,Consistent,,,Only non-blinded,,,Cabazitaxel versus Abiraterone or Enzalutamide in Metastatic Prostate Cancer.,The New England journal of medicine,91.25,2019,de Wit R and de Bono J and Sternberg CN and Fizazi K and Tombal B and Wｾｽｼlfing C and Kramer G and Eymard JC and Bamias A and Carles J and Iacovelli R and Melichar B and Sverrisdｾｽｳttir ｾ and Theodore C and Feyerabend S and Helissey C and Ozatilgan A and Geffriaud-Ricouard C and Castellano D,https://pubmed.ncbi.nlm.nih.gov/31566937/,31566937
193,Inclusion,,Phase 3,NCT02928224,BEACON CRC,Colorectal cancer,OS and ORR,No,Investigator + central,Investigator + central,Investigator + central,Only central,Suspicious of selective reporting,Contradiction,PFS and ORR were planned to assess by investigator and BICR in the registry and the protocol.,Only blinded,Yes,Investigator + central,Investigator + central,Investigator + central,Investigator + central,Consistent,,,Non-blinded + blinded,pending,,"Encorafenib, Binimetinib, and Cetuximab in BRAF V600E-Mutated Colorectal Cancer.",The New England journal of medicine,91.25,2019,Kopetz S and Grothey A and Yaeger R and Van Cutsem E and Desai J and Yoshino T and Wasan H and Ciardiello F and Loupakis F and Hong YS and Steeghs N and Guren TK and Arkenau HT and Garcia-Alfonso P and Pfeiffer P and Orlov S and Lonardi S and Elez E and Kim TW and Schellens JHM and Guo C and Krishnan A and Dekervel J and Morris V and Calvo Ferrandiz A and Tarpgaard LS and Braun M and Gollerkeri A and Keir C and Maharry K and Pickard M and Christy-Bittel J and Anderson L and Sandor V and Tabernero J,https://pubmed.ncbi.nlm.nih.gov/31566309/,31566309
198,Inclusion,,Phase 2,NCT01735071,No name,Ovarian cancer,PFS and AE,Yes,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",Only non-blinded,Only non-blinded,"Multicenter, randomised, open-label, non-comparative phase 2 trial on the efficacy and safety of the combination of bevacizumab and trabectedin with or without carboplatin in women with partially platinum-sensitive recurrent ovarian cancer.",British journal of cancer,7.64,2019,Colombo N and Zaccarelli E and Baldoni A and Frezzini S and Scambia G and Palluzzi E and Tognon G and Lissoni AA and Rubino D and Ferrero A and Farina G and Negri E and Pesenti Gritti A and Galli F and Biagioli E and Rulli E and Poli D and Gerardi C and Torri V and Fossati R and D'Incalci M,https://pubmed.ncbi.nlm.nih.gov/31537908/,31537908
203,Inclusion,,Phase 2,NCT02354131,NSGO-AVANOVA2/ENGOT-ov24,Ovarian cancer,PFS,Yes,Unclear,Unclear,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,No,Unclear,Unclear,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,,,"Niraparib plus bevacizumab versus niraparib alone for platinum-sensitive recurrent ovarian cancer (NSGO-AVANOVA2/ENGOT-ov24): a randomised, phase 2, superiority trial.",The Lancet. Oncology,41.32,2019,Mirza MR and ｾプall Lundqvist E and Birrer MJ and dePont Christensen R and Nyvang GB and Malander S and Anttila M and Werner TL and Lund B and Lindahl G and Hietanen S and Peen U and Dimoula M and Roed H and ｾ⒋ Knudsen A and Staff S and Krog Vistisen A and Bjｾｽｸrge L and Mｾｽ､enpｾｽ､ｾｽ､ JU,https://pubmed.ncbi.nlm.nih.gov/31474354/,31474354
205,Inclusion,,Phase 2,NCT02422199,No name,Breast cancer,ORR,No,Unclear,Only investigator,Only investigator,Only investigator,Consistent,,,Only non-blinded,Yes,Unclear,Only investigator,Only investigator,Only investigator,Consistent,,,Only non-blinded,,,"Pyrotinib or Lapatinib Combined With Capecitabine in HER2-Positive Metastatic Breast Cancer With Prior Taxanes, Anthracyclines, and/or Trastuzumab: A Randomized, Phase II Study.",Journal of clinical oncology : official journal of the American Society of Clinical           Oncology,44.54,2019,Ma F and Ouyang Q and Li W and Jiang Z and Tong Z and Liu Y and Li H and Yu S and Feng J and Wang S and Hu X and Zou J and Zhu X and Xu B,https://pubmed.ncbi.nlm.nih.gov/31430226/,31430226
207,Inclusion,,Phase 3,CTRI/2016/08/007149,No name,Non-small cell lung cancer,PFS,Yes,Unclear,Unclear,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,No,Unclear,Unclear,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,,,Gefitinib Versus Gefitinib Plus Pemetrexed and Carboplatin Chemotherapy in EGFR-Mutated Lung Cancer.,Journal of clinical oncology : official journal of the American Society of Clinical           Oncology,44.54,2020,Noronha V and Patil VM and Joshi A and Menon N and Chougule A and Mahajan A and Janu A and Purandare N and Kumar R and More S and Goud S and Kadam N and Daware N and Bhattacharjee A and Shah S and Yadav A and Trivedi V and Behel V and Dutt A and Banavali SD and Prabhash K,https://pubmed.ncbi.nlm.nih.gov/31411950/,31411950
208,Exclusion,Study design,,,,,,,,,,,,,,,,,,,,,,,,,,A randomized phase 2 trial of apatinib vs observation as maintenance treatment following first-line induction chemotherapy in extensive- stage small cell lung cancer.,Investigational new drugs,3.85,2020,Luo H and Zhang L and Yang B and Feng Y and Xiong Y and Zhang S and Li X and Qian C and Dong W and Dai N,https://pubmed.ncbi.nlm.nih.gov/31399906/,31399906
212,Inclusion,,Phase 2,UMIN000036556,No name,Non-small cell lung cancer,ORR,No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",Yes,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",,,Randomized Phase II Study of Weekly Paclitaxel plus Carboplatin Versus Biweekly Paclitaxel plus Carboplatin for Patients with Previously Untreated Advanced Non-Small Cell Lung Cancer.,The oncologist,5.03,2019,Takayama K and Ichiki M and Tokunaga S and Inoue K and Kawasaki M and Uchino J and Nakanishi Y,https://pubmed.ncbi.nlm.nih.gov/31332099/,31332099
213,Exclusion,Study design,,,,,,,,,,,,,,,,,,,,,,,,,,"Pazopanib or methotrexate-vinblastine combination chemotherapy in adult patients with progressive desmoid tumours (DESMOPAZ): a non-comparative, randomised, open-label, multicentre, phase 2 study.",The Lancet. Oncology,41.32,2019,Toulmonde M and Pulido M and Ray-Coquard I and Andre T and Isambert N and Chevreau C and Penel N and Bompas E and Saada E and Bertucci F and Lebbe C and Le Cesne A and Soulie P and Piperno-Neumann S and Sweet S and Cecchi F and Hembrough T and Bellera C and Kind M and Crombe A and Lucchesi C and Le Loarer F and Blay JY and Italiano A,https://pubmed.ncbi.nlm.nih.gov/31331699/,31331699
215,Inclusion,,Phase 2,NCT01685125,No name,Prostate cancer,PFS,Yes,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",,,Randomized Phase II Trial of Abiraterone Alone or With Dasatinib in Men With Metastatic Castration-resistant Prostate Cancer (mCRPC).,Clinical genitourinary cancer,2.87,2019,Dorff TB and Quinn DI and Pinski JK and Goldkorn A and Sadeghi S and Tsao-Wei D and Groshen S and Kuhn P and Gross ME,https://pubmed.ncbi.nlm.nih.gov/31227432/,31227432
222,Inclusion,,Phase 2,NCT00527124,No name,Prostate cancer,PFS,Yes,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",,,"Phase II, Multicenter, Randomized Trial of Docetaxel plus Prednisone with or Without Cediranib in Men with Chemotherapy-Naive Metastatic Castrate-Resistant Prostate Cancer.",The oncologist,5.03,2019,Heath E and Heilbrun L and Mannuel H and Liu G and Lara P and Monk JP and Flaig T and Zurita A and Mack P and Vaishampayan U and Stella P and Smith D and Bolton S and Hussain A and Al-Janadi A and Silbiger D and Usman M and Ivy SP,https://pubmed.ncbi.nlm.nih.gov/31152080/,31152080
224,Inclusion,,Phase 2,UMIN000005487,GOTIC003,Ovarian cancer,PFS,Yes,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",,,A phase II randomized controlled study of pegylated liposomal doxorubicin and carboplatin vs. gemcitabine and carboplatin for platinum-sensitive recurrent ovarian cancer (GOTIC003/intergroup study).,International journal of clinical oncology,3.4,2019,Fujiwara H and Ushijima K and Nagao S and Takei Y and Shimada M and Takano M and Yoshino K and Kawano Y and Hirashima Y and Nagase S and Nishio S and Nishikawa T and Ito K and Shoji T and Kimura E and Takano T and Sugiyama T and Kigawa J and Fujiwara K and Suzuki M,https://pubmed.ncbi.nlm.nih.gov/31127479/,31127479
225,Inclusion,,Phase 3,NCT01550055,No name,Colorectal cancer,PFS and ORR,Yes,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",Yes,Unclear,No protocol,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,,,"CMAB009 plus irinotecan versus irinotecan-only as second-line treatment after fluoropyrimidine and oxaliplatin failure in KRAS wild-type metastatic colorectal cancer patients: promising findings from a prospective, open-label, randomized, phase III trial.","Cancer communications (London, England)",5.1,2019,Shi Y and Li J and Xu J and Sun Y and Wang L and Cheng Y and Liu W and Sun G and Chen Y and Bai L and Zhang Y and He X and Luo Y and Wang Z and Liu Y and Yao Q and Li Y and Qin S and Hu X and Bi F and Zheng R and Ouyang X,https://pubmed.ncbi.nlm.nih.gov/31126331/,31126331
231,Inclusion,,Phase 2,UMIN000008771,LOGIK1201,Non-small cell lung cancer,PFS,Yes,Unclear,No protocol,Unclear,Only central,Unclear in advance but clear in paper,,,"Probably, only blinded",No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only blinded",Only blinded,Only blinded,Randomized phase II study of pemetrexed or pemetrexed plus bevacizumab for elderly patients with previously untreated non-squamous non-small cell lung cancer: Results of the Lung Oncology Group in Kyushu (LOGIK1201).,"Lung cancer (Amsterdam, Netherlands)",5.71,2019,Fukuda M and Kitazaki T and Ogawara D and Ichiki M and Mukae H and Maruyama R and Nakagaki N and Shimada M and Ikeda T and Kishimoto J and Harada T and Seto T and Ebi N and Takayama K and Okamoto I and Ichinose Y and Sugio K,https://pubmed.ncbi.nlm.nih.gov/31097081/,31097081
232,Inclusion,,Phase 2,Not available,No name,Non-small cell lung cancer,PFS,Yes,No registry,No protocol,Not available,Unclear,Not prespecified,,,"Probably, only non-blinded",No,No registry,No protocol,Not available,Unclear,Not prespecified,,,"Probably, only non-blinded",,,An Exploratory Randomized Phase II Trial Comparing CDDP Plus S-1 With Bevacizumab and CDDP Plus Pemetrexed With Bevacizumab Against Patients With Advanced Non-squamous Non-small Cell Lung Cancer.,Anticancer research,2.48,2019,Kaira K and Imai H and Souma R and Sakurai R and Miura Y and Sunaga N and Kasahara N and Tsukagoshi Y and Koga Y and Kitahara S and Kotake M and Minato K and Naruse I and Fukushima Y and Hisada T and Ishizuka T,https://pubmed.ncbi.nlm.nih.gov/31092443/,31092443
236,Inclusion,,Phase 3,NCT02256436,KEYNOTE-045,Urothelial cancer,OS and PFS,Yes,Only central,No protocol,Only central,Only central,Consistent,,,Only blinded,No,Only central,No protocol,Only central,Only central,Consistent,,,Only blinded,,,"Randomized phase III KEYNOTE-045 trial of pembrolizumab versus paclitaxel, docetaxel, or vinflunine in recurrent advanced urothelial cancer: results of >2 years of follow-up.",Annals of oncology : official journal of the European Society for Medical Oncology,32.98,2019,Fradet Y and Bellmunt J and Vaughn DJ and Lee JL and Fong L and Vogelzang NJ and Climent MA and Petrylak DP and Choueiri TK and Necchi A and Gerritsen W and Gurney H and Quinn DI and Culine S and Sternberg CN and Nam K and Frenkl TL and Perini RF and de Wit R and Bajorin DF,https://pubmed.ncbi.nlm.nih.gov/31050707/,31050707
239,Inclusion,,Phase 3,NCT01081262,mEOC/GOG 0241,Ovarian cancer,OS,No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",Only non-blinded,Only non-blinded,"An international, phase III randomized trial in patients with mucinous epithelial ovarian cancer (mEOC/GOG 0241) with long-term follow-up: and experience of conducting a clinical trial in a rare gynecological tumor.",Gynecologic oncology,5.48,2019,Gore M and Hackshaw A and Brady WE and Penson RT and Zaino R and McCluggage WG and Ganesan R and Wilkinson N and Perren T and Montes A and Summers J and Lord R and Dark G and Rustin G and Mackean M and Reed N and Kehoe S and Frumovitz M and Christensen H and Feeney A and Ledermann J and Gershenson DM,https://pubmed.ncbi.nlm.nih.gov/31005287/,31005287
251,Inclusion,,Phase 2,NCT02072031,No name,Renal cell cancer,PFS,Yes,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",,,Anlotinib Versus Sunitinib as First-Line Treatment for Metastatic Renal Cell Carcinoma: A Randomized Phase II Clinical Trial.,The oncologist,5.03,2019,Zhou AP and Bai Y and Song Y and Luo H and Ren XB and Wang X and Shi B and Fu C and Cheng Y and Liu J and Qin S and Li J and Li H and Bai X and Ye D and Wang J and Ma J,https://pubmed.ncbi.nlm.nih.gov/30902918/,30902918
253,Inclusion,,Phase 2,NCT01283204,No name,Stomach cancer,PFS,Yes,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",No,No ORR,No protocol,No ORR,Unclear,Unclear in advance but clear in paper,,,"Probably, only non-blinded",Only blinded (radiologist),Only blinded (radiologist),Randomised phase II trial comparing four front-line doublets in Asian patients with metastatic gastric cancer.,"European journal of cancer (Oxford, England : 1990)",9.16,2019,Kim C and Chon HJ and Kim JH and Jung M and Nam CM and Kim HS and Kang B and Chung HC and Rha SY,https://pubmed.ncbi.nlm.nih.gov/30901609/,30901609
254,Exclusion,Study design,,,,,,,,,,,,,,,,,,,,,,,,,,"Binimetinib, Encorafenib, and Cetuximab Triplet Therapy for Patients With BRAF V600E-Mutant Metastatic Colorectal Cancer: Safety Lead-In Results From the Phase III BEACON Colorectal Cancer Study.",Journal of clinical oncology : official journal of the American Society of Clinical           Oncology,44.54,2019,Van Cutsem E and Huijberts S and Grothey A and Yaeger R and Cuyle PJ and Elez E and Fakih M and Montagut C and Peeters M and Yoshino T and Wasan H and Desai J and Ciardiello F and Gollerkeri A and Christy-Bittel J and Maharry K and Sandor V and Schellens JHM and Kopetz S and Tabernero J,https://pubmed.ncbi.nlm.nih.gov/30892987/,30892987
256,Inclusion,,Phase 2,NCT01534455,E-VITA,Breast cancer,PFS and tolerability,Yes,Unclear,No protocol,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,No,Unclear,No protocol,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,,,A randomized phase II study to determine the efficacy and tolerability of two doses of eribulin plus lapatinib in trastuzumab-pretreated patients with HER-2-positive metastatic breast cancer (E-VITA).,Anti-cancer drugs,2.25,2019,Bischoff J and Barinoff J and Mundhenke C and Bauerschlag DO and Costa SD and Herr D and Lｾｽｼbbe K and Marmｾｽｩ F and Maass N and von Minckwitz G and Grischke EM and Mｾｽｼller V and Schmidt M and Gerber B and Kｾｽｼmmel S and Schumacher C and Krabisch P and Seiler S and Thill M and Nekljudova V and Loibl S,https://pubmed.ncbi.nlm.nih.gov/30875348/,30875348
257,Inclusion,,Phase 2,"EudraCT, number 2014-000394-39",NORDIC9,Colorectal cancer,PFS,Yes,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",No,Unclear,No protocol,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,,,"Reduced-dose combination chemotherapy (S-1 plus oxaliplatin) versus full-dose monotherapy (S-1) in older vulnerable patients with metastatic colorectal cancer (NORDIC9): a randomised, open-label phase 2 trial.",The lancet. Gastroenterology & hepatology,14.78,2019,Winther SB and Liposits G and Skuladottir H and Hofsli E and Shah CH and Poulsen Lｾ and Ryg J and Osterlund P and Berglund ｾ and Qvortrup C and Glimelius B and Sorbye H and Pfeiffer P,https://pubmed.ncbi.nlm.nih.gov/30852136/,30852136
258,Exclusion,Study design,,,,,,,,,,,,,,,,,,,,,,,,,,Efficacy and Safety of Ceritinib (450 mg/d or 600 mg/d) With Food Versus 750-mg/d Fasted in Patients With ALK Receptor Tyrosine Kinase (ALK)-Positive NSCLC: Primary Efficacy Results From the ASCEND-8 Study.,Journal of thoracic oncology : official publication of the International Association           for the Study of Lung Cancer,15.61,2019,Cho BC and Obermannova R and Bearz A and McKeage M and Kim DW and Batra U and Borra G and Orlov S and Kim SW and Geater SL and Postmus PE and Laurie SA and Park K and Yang CT and Ardizzoni A and Bettini AC and de Castro G Jr and Kiertsman F and Chen Z and Lau YY and Viraswami-Appanna K and Passos VQ and Dziadziuszko R,https://pubmed.ncbi.nlm.nih.gov/30851442/,30851442
262,Inclusion,,Phase 2,UMIN000013586,No name,Non-small cell lung cancer,PFS,Yes,Unclear,No protocol,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",,,Gefitinib Plus Bevacizumab vs. Gefitinib Alone for EGFR Mutant Non-squamous Non-small Cell Lung Cancer.,"In vivo (Athens, Greece)",2.15,2019,Kitagawa C and Mori M and Ichiki M and Sukoh N and Kada A and Saito AM and Ichinose Y,https://pubmed.ncbi.nlm.nih.gov/30804129/,30804129
